Record_Tag,Receiver,Vendor,Sender,Name,Location,Reporting_Date,ReqDelivery_Dat,Beginning_PO_Number,Ending_PO_Number,Sequence,Line_Number,Item_Cod,CODE-QA,CODE-QW,CODE-QP,CODE-QD,CODE-QO,CODE-QC,CODE-QX,CODE-OQ,OTHER,UOM,Price,Date_Process
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00714E+13,0,0,350,,0,0,,80,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00714E+13,0,0,364,,0,0,,49,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00714E+13,0,0,329,,0,0,,81,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00714E+13,92,44,220,,0,1,,44,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,2.00714E+13,0,0,0,,0,0,,,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00714E+13,111,39,130,,1,0,,39,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00714E+13,23,28,100,,0,0,,27,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00714E+13,133,88,120,,2,1,,89,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00714E+13,128,78,330,,0,0,,78,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00714E+13,109,71,100,,1,0,,71,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00714E+13,84,56,117,,1,0,,56,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00714E+13,82,20,210,,0,0,,20,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,2.00714E+13,42,22,90,,0,0,,22,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00714E+13,68,42,130,,2,2,,44,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00714E+13,50,34,140,,0,0,,34,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,2.00714E+13,90,64,250,,2,0,,64,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,2.00714E+13,78,20,150,,0,0,,20,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00714E+13,2,128,600,,2,1,,129,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00714E+13,104,47,250,,0,0,,46,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00714E+13,70,37,120,,0,0,,36,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00714E+13,317,106,600,,0,0,,105,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00714E+13,0,0,0,,0,0,,55,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00714E+13,0,0,0,,0,0,,,,CA,,20210827
Record_Tag,Receiver,Vendor,Sender,Name,Location,Reporting_Date,ReqDelivery_Dat,Beginning_PO_Number,Ending_PO_Number,Sequence,Line_Number,Item_Cod,CODE-QA,CODE-QW,CODE-QP,CODE-QD,CODE-QO,CODE-QC,CODE-QX,CODE-OQ,OTHER,UOM,Price,Date_Process
852,DOLEDFV,,5137624388,KROGER,2.17324E+11,20210827,,,,,,1.00714E+13,121,23,131,,0,0,,23,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,2.17324E+11,20210827,,,,,,1.00714E+13,108,15,235,,0,1,,15,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,2.17324E+11,20210827,,,,,,1.00714E+13,130,35,360,,0,2,,35,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,2.17324E+11,20210827,,,,,,1.00714E+13,58,32,380,,0,1,,31,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,2.17324E+11,20210827,,,,,,1.00714E+13,37,10,140,,0,1,,9,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,2.17324E+11,20210827,,,,,,1.00714E+13,91,33,330,,0,2,,33,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,2.17324E+11,20210827,,,,,,1.00714E+13,94,72,630,,0,2,,71,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,2.17324E+11,20210827,,,,,,1.00714E+13,0,0,0,,0,0,,,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,2.17324E+11,20210827,,,,,,1.00714E+13,184,25,70,,0,0,,24,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,2.17324E+11,20210827,,,,,,1.00714E+13,174,32,250,,0,4,,31,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,2.17324E+11,20210827,,,,,,1.00714E+13,116,14,160,,0,1,,14,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,2.17324E+11,20210827,,,,,,1.00714E+13,93,17,20,,0,0,,17,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,2.17324E+11,20210827,,,,,,1.00714E+13,108,17,100,,0,0,,17,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,2.17324E+11,20210827,,,,,,1.00714E+13,0,0,0,,0,0,,,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,2.17324E+11,20210827,,,,,,1.00714E+13,0,0,0,,0,0,,,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,2.17324E+11,20210827,,,,,,1.00714E+13,0,0,0,,0,0,,,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,2.17324E+11,20210827,,,,,,1.00714E+13,0,0,330,,1,0,,43,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,2.17324E+11,20210827,,,,,,1.00714E+13,0,0,0,,0,0,,44,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,2.17324E+11,20210827,,,,,,1.00714E+13,0,0,0,,0,0,,40,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,2.17324E+11,20210827,,,,,,1.00714E+13,0,0,164,,0,0,,5,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,2.17324E+11,20210827,,,,,,1.00714E+13,0,0,160,,2,0,,54,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,2.17324E+11,20210827,,,,,,1.00714E+13,318,73,350,,0,1,,72,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,2.17324E+11,20210827,,,,,,1.00714E+13,60,47,300,,0,1,,46,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,2.17324E+11,20210827,,,,,,1.00714E+13,86,29,240,,0,0,,29,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,2.17324E+11,20210827,,,,,,1.00714E+13,13,52,283,,0,1,,51,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,2.17324E+11,20210827,,,,,,1.00714E+13,14,46,360,,0,3,,45,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,2.17324E+11,20210827,,,,,,1.00714E+13,53,34,320,,0,1,,33,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,2.17324E+11,20210827,,,,,,1.00714E+13,75,52,410,,0,2,,51,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,2.17324E+11,20210827,,,,,,1.00714E+13,200,25,220,,0,1,,24,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,2.17324E+11,20210827,,,,,,2.00714E+13,30,23,190,,0,1,,23,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,2.17324E+11,20210827,,,,,,1.00714E+13,70,18,150,,0,0,,17,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,2.17324E+11,20210827,,,,,,1.00714E+13,34,16,130,,0,0,,16,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,2.17324E+11,20210827,,,,,,1.00714E+13,147,25,100,,0,0,,25,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,2.17324E+11,20210827,,,,,,1.00714E+13,0,0,0,,0,0,,13,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,2.17324E+11,20210827,,,,,,2.00714E+13,162,62,350,,0,1,,61,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,2.17324E+11,20210827,,,,,,2.00714E+13,165,32,560,,0,3,,32,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,2.17324E+11,20210827,,,,,,1.00714E+13,16,64,460,,0,1,,63,,CA,,20210827
