DC,LAZY CODE,Date,value
Atlanta,DAVORCH,9/5/2021,43.66666667
Atlanta,DSWTKAL,9/5/2021,24.66666667
Atlanta,DCPPRCH,9/5/2021,45
Atlanta,DCPBUFR,9/5/2021,35
Atlanta,D6CPCSR,9/5/2021,140.976
Atlanta,D6ULCSR,9/5/2021,432
Atlanta,D6CPGRK,9/5/2021,81
Atlanta,DCPBCSR,9/5/2021,97.812
Atlanta,D95ROM,9/5/2021,66
Atlanta,D6ENSMR,9/5/2021,63.03
Atlanta,D6SWEST,9/5/2021,49.17
Atlanta,D1214SW,9/5/2021,100
Atlanta,D14DSLW,9/5/2021,29.66666667
Atlanta,D128SHD,9/5/2021,110
Atlanta,KRSLW16,9/5/2021,88
Atlanta,KRHRT10,9/5/2021,126
Atlanta,KRAMR12,9/5/2021,131
Atlanta,KRPRM10,9/5/2021,175.3333333
Atlanta,KRGRD12,9/5/2021,140.3333333
Atlanta,KRFLDG8,9/5/2021,118.3333333
Atlanta,KRGRD24,9/5/2021,86.66666667
Atlanta,KRITL10,9/5/2021,85.66666667
Atlanta,KRROM10,9/5/2021,103.6666667
Atlanta,KRVEG12,9/5/2021,73.33333333
Atlanta,KRSPN10,9/5/2021,93.66666667
Atlanta,KRSPR10,9/5/2021,84
Atlanta,KRSHDGL,9/5/2021,156
Atlanta,KR6SM5,9/5/2021,93
Atlanta,KR65050,9/5/2021,72.33333333
Atlanta,KR6SP6,9/5/2021,170.6666667
Atlanta,KRSHRD8,9/5/2021,401.148
Atlanta,KROSP5,9/5/2021,692.208
Atlanta,KROSP16,9/5/2021,371.844
Atlanta,KROSM5,9/5/2021,345.708
Atlanta,KROSM16,9/5/2021,190.872
Atlanta,KROROM,9/5/2021,120
Atlanta,KRO5050,9/5/2021,176.616
Atlanta,KROARU,9/5/2021,230.076
Atlanta,KROKALE,9/5/2021,98.604
Atlanta,KROPWRG,9/5/2021,135.036
Atlanta,KRO5016,9/5/2021,109.296
Atlanta,KRTNSPN,9/5/2021,340.6666667
Atlanta,KRCPKAL,9/5/2021,50
Atlanta,KRARTSN,9/5/2021,50
Atlanta,KRSRM8,9/5/2021,60
Atlanta,D6AMER,9/6/2021,102
Atlanta,D6CAESR,9/6/2021,191.664
Atlanta,D6LFCSR,9/6/2021,104.148
Atlanta,D62ROM,9/6/2021,137.808
Atlanta,DFAMUCR,9/6/2021,115.236
Atlanta,D6CSPIN,9/6/2021,155
Atlanta,D12SPIN,9/6/2021,96.33333333
Atlanta,D6ARUGL,9/6/2021,45.33333333
Atlanta,DMSWGRP,9/6/2021,20
Atlanta,DMMCORN,9/6/2021,41
Atlanta,DMMAPLC,9/6/2021,20
Atlanta,D610AHW,9/6/2021,90.33333333
Atlanta,D10VVEG,9/6/2021,86
Atlanta,DROMFAM,9/6/2021,72.33333333
Atlanta,D6HRTS,9/6/2021,123
Atlanta,D6CPBBQ,9/6/2021,59.4
Atlanta,D6CPCHI,9/6/2021,66.528
Atlanta,DASICHP,9/6/2021,90.288
Atlanta,DSUNKAL,9/6/2021,88.704
Atlanta,D6BUTB,9/6/2021,152
Atlanta,DAVORCH,9/6/2021,61
Atlanta,DSWTKAL,9/6/2021,37.66666667
Atlanta,DCPPRCH,9/6/2021,45
Atlanta,DCPBUFR,9/6/2021,35
Atlanta,D6CPCSR,9/6/2021,186.516
Atlanta,D6ULCSR,9/6/2021,432
Atlanta,D6CPGRK,9/6/2021,90.684
Atlanta,DCPBCSR,9/6/2021,119.592
Atlanta,D95ROM,9/6/2021,97.33333333
Atlanta,D6ENSMR,9/6/2021,82.17
Atlanta,D6SWEST,9/6/2021,56.43
Atlanta,D1214SW,9/6/2021,79
Atlanta,D14DSLW,9/6/2021,32.33333333
Atlanta,D128SHD,9/6/2021,116.49
Atlanta,KRSLW16,9/6/2021,139
Atlanta,KRHRT10,9/6/2021,173
Atlanta,KRAMR12,9/6/2021,171
Atlanta,KRPRM10,9/6/2021,228.3333333
Atlanta,KRGRD12,9/6/2021,178.3333333
Atlanta,KRFLDG8,9/6/2021,152.3333333
Atlanta,KRGRD24,9/6/2021,120
Atlanta,KRITL10,9/6/2021,102
Atlanta,KRROM10,9/6/2021,130
Atlanta,KRVEG12,9/6/2021,104.6666667
Atlanta,KRSPN10,9/6/2021,133
Atlanta,KRSPR10,9/6/2021,105.6666667
Atlanta,KRSHDGL,9/6/2021,156
Atlanta,KR6SM5,9/6/2021,119.6666667
Atlanta,KR65050,9/6/2021,86
Atlanta,KR6SP6,9/6/2021,186
Atlanta,KRSHRD8,9/6/2021,513.612
Atlanta,KROSP5,9/6/2021,822.888
Atlanta,KROSP16,9/6/2021,426.096
Atlanta,KROSM5,9/6/2021,399.96
Atlanta,KROSM16,9/6/2021,256.608
Atlanta,KROROM,9/6/2021,120
Atlanta,KRO5050,9/6/2021,198
Atlanta,KROARU,9/6/2021,293.04
Atlanta,KROKALE,9/6/2021,126.324
Atlanta,KROPWRG,9/6/2021,196.02
Atlanta,KRO5016,9/6/2021,140.58
Atlanta,KRTNSPN,9/6/2021,398
Atlanta,KRCPKAL,9/6/2021,50
Atlanta,KRARTSN,9/6/2021,50
